"ticker","company_name","asof_date","est_window_start","n_obs","spot_price","log_return_mean","log_return_std","vol_annual_realized","vol_annual_downside","vol_annual_20d","skewness","kurtosis","max_drawdown","return_annual","avg_daily_volume_20d","normality_n","normality_pvalue","normality_log10_pvalue","outlier_fraction","gbm_mu_annual","gbm_sigma_annual","gbm_mu_se","gbm_sigma_se","gbm_mu_ci95_low","gbm_mu_ci95_high","gbm_sigma_ci95_low","gbm_sigma_ci95_high","dividend_yield","carry_r_minus_q","lattice_u","lattice_d","lattice_p_real","lattice_p_rn","lattice_implied_sigma","sim_alpha_annual","sim_beta","sim_alpha_se","sim_beta_se","sim_alpha_ci95_low","sim_alpha_ci95_high","sim_beta_ci95_low","sim_beta_ci95_high","sim_r_squared","sim_resid_std","model_fit_notes","tags","snapshot_date"
"AAPL","Apple","2026-03-02","2025-03-11",244,264.72,0.00074276,0.02010225,0.319113,0.213888,0.340843,0.7553,15.2954,0.22989,0.204354,51537445,244,0,-13.8267,0.012295,0.187176,0.319113,0.324302,0.014446,-0.451626,0.825979,0.290659,0.347568,0.004,0.039,1.01253711,0.98750752,0.53688525,0.50592627,0.319113,-0.09072276,1.276413,0.00084672,0.071098,-0.5110309,0.32958538,1.136363,1.416463,0.571154,0.0131914,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=57.12%","non_normal;heavy_tails","2026-03-02"
"AMZN","Amazon","2026-03-02","2025-03-11",244,208.39,0.0002389,0.02203556,0.349804,0.242578,0.338481,0.2502,8.4224,0.217362,0.06163,65463635,244,0,-9.2122,0.020492,0.060202,0.349804,0.355492,0.015835,-0.640037,0.760441,0.318613,0.380995,0,0.043,1.0148471,0.98409925,0.53278689,0.52268368,0.349804,-0.2275251,1.321555,0.00099259,0.083346,-0.72024087,0.26519068,1.157378,1.485732,0.509544,0.01546392,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.95%","high_beta;non_normal;heavy_tails;no_dividend","2026-03-02"
"GOOGL","Google","2026-03-02","2025-03-11",244,306.52,0.00256218,0.01927816,0.306031,0.185329,0.251817,0.4817,6.5325,0.151618,0.899169,42191705,244,1e-06,-5.9426,0.016393,0.64567,0.306031,0.311008,0.013853,0.033055,1.258285,0.278743,0.333319,0.004,0.039,1.01565272,0.98729355,0.54508197,0.45407186,0.306031,0.43224949,0.980259,0.0009871,0.082885,-0.05774115,0.92224013,0.81699,1.143527,0.366277,0.01537839,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=36.63%","non_normal;heavy_tails","2026-03-02"
"META","Meta","2026-03-02","2025-03-11",244,653.56,0.00031161,0.024595,0.390433,0.25828,0.26133,0.6098,11.1917,0.25424,0.081132,13249275,244,0,-12.3618,0.02459,0.078526,0.390433,0.396782,0.017674,-0.703046,0.860098,0.355619,0.425247,0.003,0.04,1.0169214,0.98457306,0.49590164,0.48217588,0.390433,-0.22852697,1.410319,0.00115623,0.097087,-0.80247233,0.3454184,1.219075,1.601562,0.465801,0.01801331,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.58%","high_beta;non_normal;heavy_tails","2026-03-02"
"MSFT","Microsoft","2026-03-02","2025-03-11",244,398.55,0.00019048,0.01671639,0.265364,0.188293,0.330756,-0.1028,14.1156,0.290737,0.048841,41786610,244,0,-12.9587,0.016393,0.048002,0.265364,0.26968,0.012012,-0.483206,0.57921,0.241703,0.289026,0.007,0.036,1.01042151,0.98882137,0.53278689,0.52542622,0.265364,-0.14227845,0.873974,0.00084166,0.070673,-0.56007314,0.27551624,0.734761,1.013186,0.387232,0.01311251,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=38.72%","non_normal;heavy_tails","2026-03-02"
"NVDA","NVIDIA","2026-03-02","2025-03-11",244,182.48,0.00212089,0.02638764,0.418891,0.269562,0.472864,0.7599,9.7498,0.224871,0.700535,197727015,244,0,-8.3692,0.008197,0.534464,0.418891,0.425702,0.018962,-0.304074,1.373002,0.381539,0.456242,3e-04,0.0427,1.02003484,0.98244664,0.53278689,0.47153131,0.418891,0.16838138,1.681447,0.0011062,0.092886,-0.38073048,0.71749324,1.498479,1.864416,0.575208,0.01723391,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=57.52%","high_beta;non_normal;high_vol;heavy_tails","2026-03-02"
"TSLA","Tesla","2026-03-02","2025-03-11",244,403.32,0.00229153,0.03649095,0.579276,0.380523,0.314117,0.3616,7.4856,0.230027,0.774752,58928795,244,1e-06,-6.2219,0.016393,0.577465,0.579276,0.588696,0.026223,-0.582133,1.737062,0.527623,0.630929,0,0.043,1.02784999,0.97458147,0.53278689,0.48038088,0.579276,0.12969914,2.056623,0.00174068,0.146162,-0.73436212,0.99376041,1.768711,2.344536,0.449986,0.02711862,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=45.00%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-03-02"
"AAPL","Apple","2026-03-03","2025-03-11",245,263.75,0.00072475,0.02006299,0.31849,0.213483,0.30865,0.7593,15.3553,0.22989,0.199214,49770220,245,0,-13.8925,0.012245,0.182636,0.31849,0.323008,0.014388,-0.453603,0.818876,0.29015,0.346831,0.004,0.039,1.01253711,0.98758496,0.53469388,0.50439288,0.31849,-0.08203954,1.274173,0.00084369,0.070908,-0.50083387,0.33675479,1.1345,1.413846,0.570593,0.01317413,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=57.06%","non_normal;heavy_tails","2026-03-03"
"AMZN","Amazon","2026-03-03","2025-03-11",245,208.73,0.00024458,0.02199054,0.349089,0.242083,0.330063,0.2499,8.4567,0.217362,0.063224,65745575,245,0,-9.2806,0.020408,0.061633,0.349089,0.354041,0.01577,-0.635733,0.759,0.318026,0.380152,0,0.043,1.01474622,0.98409925,0.53469388,0.52440422,0.349089,-0.21205614,1.317564,0.00099001,0.083206,-0.70348027,0.27936799,1.153668,1.481461,0.507847,0.01545887,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.78%","high_beta;non_normal;heavy_tails;no_dividend","2026-03-03"
"GOOGL","Google","2026-03-03","2025-03-11",245,303.58,0.00251239,0.0192544,0.305654,0.185209,0.2389,0.4882,6.5437,0.151618,0.877159,42366250,245,1e-06,-5.9807,0.016327,0.633122,0.305654,0.30999,0.013808,0.022524,1.243719,0.278456,0.332852,0.004,0.039,1.01565272,0.98732136,0.54285714,0.45353595,0.305654,0.42934283,0.981008,0.00098289,0.082607,-0.05854619,0.91723186,0.818291,1.143726,0.367237,0.01534767,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=36.72%","non_normal;heavy_tails","2026-03-03"
